Image	Caption
b_COCO_val2014_000000003817.jpg	A person riding a motorcycle with a large load of bananas on the back.
e_COCO_val2014_000000002255.jpg	A majestic elephant walking on a dirt path, with trees and a fence in the background.
e_COCO_val2014_000000001164.jpg	A woman feeding an elephant from a boat.
b_COCO_val2014_000000003661.jpg	A playful arrangement of bananas on a table.
b_COCO_val2014_000000001153.jpg	A bunch of ripe bananas on a countertop.
b_COCO_val2014_000000000715.jpg	A vibrant fruit display at a market or grocery store.
e_COCO_val2014_000000001869.jpg	A family of elephants walking together in a grassy field.
e_COCO_val2014_000000004229.jpg	A serene scene of two elephants in a grassy field, with one slightly ahead of the other.
e_COCO_val2014_000000000757.jpg	A herd of elephants in their natural habitat, walking along a muddy riverbank.
b_COCO_val2014_000000002587.jpg	A playful snack bag with a donut and banana.
