Image	Caption
b_COCO_val2014_000000000715.jpg	A display of fresh fruit, including pineapples, oranges, and bananas, in a market or grocery store.
b_COCO_val2014_000000003817.jpg	A motorcyclist carries a large load of bananas along a rural road.
b_COCO_val2014_000000003661.jpg	A ripe banana sits on a desk, with a computer and a cup visible in the background.
b_COCO_val2014_000000002587.jpg	A chocolate banana, encased in plastic, displayed in a case.
b_COCO_val2014_000000001153.jpg	A bunch of bananas sitting in a bowl on a bathroom counter.
e_COCO_val2014_000000001869.jpg	A playful baby elephant explores its surroundings, following closely behind its adult companions.
e_COCO_val2014_000000000757.jpg	A playful baby elephant splashes in the water with its herd.
e_COCO_val2014_000000002255.jpg	A majestic elephant gracefully strides across a dusty path, kicking up a cloud of sand.
e_COCO_val2014_000000001164.jpg	A young girl gently pets an elephant bathing in a pool of water.
e_COCO_val2014_000000004229.jpg	A heartwarming moment between elephants in the African savanna.
